emotion_label,comments,mean_confidence
neutral,22418,0.7112702956824142
surprise,4664,0.662219634640636
joy,4471,0.7210126598424971
anger,3487,0.6029450579866625
disgust,3306,0.6310223630898228
sadness,1858,0.6666866152740782
fear,1250,0.6776978430986405
