field,annotator_a,annotator_b,n_items_used,observed_agreement,cohen_kappa
humor_presence,1,9,200,0.865,0.7593368392904892
humor_presence,10,7,5,0.2,-0.33333333333333337
joke_topic,1,9,200,0.72,0.6613961362880552
joke_topic,10,7,5,0.2,0.0909090909090909
joke_topic,7,9,1,1.0,1.0
humor_type,1,9,200,0.84,0.7463136197875376
humor_type,10,7,5,0.6,0.0
dark_intensity,1,10,2,1.0,1.0
dark_intensity,1,7,4,0.5,0.2
dark_intensity,1,9,43,0.7209302325581395,0.25862068965517215
dark_intensity,10,9,1,1.0,1.0
target_category,10,9,3,1.0,1.0
stand_up,1,9,28,0.9642857142857143,0.9204545454545455
stand_up,10,7,56,0.9642857142857143,0.8679245283018869
stand_up,10,9,36,1.0,1.0
irony_or_satire_present,1,9,200,0.9,0.7854077253218884
irony_or_satire_present,10,7,5,0.4,-0.36363636363636376
