id,n_annotators,pairwise_overlap_rate,pairwise_jaccard_mean,any_topic_shared_by_2plus,any_topic_shared_by_all,mean_topics_per_annotator
795,2,0.0,0.0,False,False,1.0
796,3,0.333333,0.333333,True,False,1.0
797,2,1.0,1.0,True,True,2.0
798,2,1.0,1.0,True,True,1.0
799,2,1.0,1.0,True,True,1.0
800,2,1.0,1.0,True,True,1.0
801,2,1.0,0.5,True,True,1.5
802,2,1.0,1.0,True,True,1.0
803,2,1.0,1.0,True,True,1.0
804,2,1.0,0.5,True,True,1.5
805,2,0.0,0.0,False,False,1.0
806,2,1.0,1.0,True,True,1.0
807,2,1.0,1.0,True,True,1.0
808,2,1.0,0.333333,True,True,2.0
809,2,1.0,1.0,True,True,1.0
810,2,0.0,0.0,False,False,1.5
811,2,1.0,0.5,True,True,1.5
812,2,0.0,0.0,False,False,1.0
813,2,1.0,1.0,True,True,1.0
814,2,1.0,1.0,True,True,1.0
815,2,0.0,0.0,False,False,1.0
816,2,1.0,0.666667,True,True,2.5
817,2,1.0,1.0,True,True,1.0
818,2,1.0,1.0,True,True,1.0
819,2,1.0,1.0,True,True,1.0
820,2,1.0,0.5,True,True,1.5
821,2,0.0,0.0,False,False,1.0
822,2,1.0,1.0,True,True,2.0
823,2,1.0,1.0,True,True,1.0
824,2,1.0,1.0,True,True,1.0
825,2,1.0,1.0,True,True,1.0
826,2,1.0,1.0,True,True,1.0
827,2,0.0,0.0,False,False,1.0
828,2,1.0,0.5,True,True,1.5
829,2,1.0,1.0,True,True,1.0
830,2,1.0,1.0,True,True,1.0
831,2,1.0,1.0,True,True,1.0
832,2,1.0,1.0,True,True,1.0
833,2,1.0,1.0,True,True,1.0
834,2,1.0,1.0,True,True,1.0
835,2,0.0,0.0,False,False,1.0
836,2,0.0,0.0,False,False,1.5
837,3,0.333333,0.333333,True,False,1.0
838,3,0.333333,0.333333,True,False,1.0
839,3,1.0,0.666667,True,True,1.333333
840,3,0.333333,0.333333,True,False,1.0
841,3,1.0,1.0,True,True,1.0
842,3,1.0,1.0,True,True,1.0
843,3,0.333333,0.333333,True,False,1.0
844,3,1.0,1.0,True,True,1.0
845,3,0.333333,0.333333,True,False,1.0
846,3,1.0,1.0,True,True,1.0
928,2,1.0,1.0,True,True,1.0
