id,video_id,title,url,downloaded_comment_count,comment_file_found,invalid_comment_lines
1359,_KQ6FsUvEdc,👑 DIY Crown? PLAY PRINCESS TIME! 😍 #shorts #funny,https://www.youtube.com/watch?v=_KQ6FsUvEdc,0,no,0
19,YreXG03kdsk,The top five funniest moments in Smosh #smosh #smoshgames #shaynetopp #funny,https://www.youtube.com/watch?v=YreXG03kdsk,0,no,0
1925,Qcbb4MS0Djg,Theo Von makes Ben Affleck laugh 😂🤣😭 #theovon,https://www.youtube.com/watch?v=Qcbb4MS0Djg,0,no,0
1921,QX-T1MJ-x-4,Theo Von On Reality Tv…🤣🤣🤣#theovon #bertkreischer #thispastweekend #comedy,https://www.youtube.com/watch?v=QX-T1MJ-x-4,0,no,0
1840,NVe3cuuzuqg,Ariana Grande perfectly Roasted Jimmy…😂 #ariana #arianagrande #jimmybutler #zendaya #celebs #shorts,https://www.youtube.com/watch?v=NVe3cuuzuqg,0,no,0
1796,MDvBhrKZOeM,Shayne’s Karen Impression is Too Good!!!😂😂😂| Smosh Pit,https://www.youtube.com/watch?v=MDvBhrKZOeM,0,no,0
1780,LriA3Y60jBg,Scared these guys off the lift😂 #prankcall #gondola #chairlift #skiing #snowboarding #skiresort,https://www.youtube.com/watch?v=LriA3Y60jBg,0,no,0
1777,LjmPU_0ceAw,We DON'T want your money! But we need your time.,https://www.youtube.com/watch?v=LjmPU_0ceAw,0,no,0
1765,LUE7ae58Fdk,Conquering Childhood Fears: Jimmy O. Yang's Hilarious Take!,https://www.youtube.com/watch?v=LUE7ae58Fdk,0,no,0
1756,LJysnTw8uOM,Theo Von Pranks Caleb Pressley?!?🤣🤣🤣#thispastweekend #theovon #sundaeconversation #comedy,https://www.youtube.com/watch?v=LJysnTw8uOM,0,no,0
1718,KRRG0S7yDZQ,The room feels different without a futon #college #collegehumor #collegelife #roommates,https://www.youtube.com/watch?v=KRRG0S7yDZQ,0,no,0
1313,ItwjXJIEFco,Joe Rogan Reacts To Rob Schneider Destroying Woke College Student,https://www.youtube.com/watch?v=ItwjXJIEFco,0,no,0
1308,IlwZx_64TJo,Theo Von’s Funniest Moments Ranked!,https://www.youtube.com/watch?v=IlwZx_64TJo,0,no,0
1282,HpXKcOI7BYE,Let’s DIY Some Fluffy Earmuffs with Fun Socks! 🧦❄️ So Cute! 😍 #kidsvideo #funforkids #diy #crafts,https://www.youtube.com/watch?v=HpXKcOI7BYE,0,no,0
1263,HEq-XlWCwks,Christoph Waltz on Speaking Multiple Languages,https://www.youtube.com/watch?v=HEq-XlWCwks,0,no,0
1259,H8ysSXz9MGk,Squid Game Season 3 Gets Freaky – Twisted Vision! 😱🤖✨ #squidgame #season3,https://www.youtube.com/watch?v=H8ysSXz9MGk,0,no,0
1255,GzPH4UC8ayQ,MIGRANT CRISIS😳 #shorts #snl #weekendupdate,https://www.youtube.com/watch?v=GzPH4UC8ayQ,0,no,0
1242,GcdpUSkpXnI,Soft plastics don’t belong in your recycling bin ❌♻️,https://www.youtube.com/watch?v=GcdpUSkpXnI,0,no,0
1221,FjPs4T7xKvM,Somebody is More important 😂,https://www.youtube.com/watch?v=FjPs4T7xKvM,0,no,0
1209,FD-GqKgJ_RM,Levi does basketball trick shots!! 🏀,https://www.youtube.com/watch?v=FD-GqKgJ_RM,0,no,0
1208,FBk1q5uxhlc,#funnyprank#funnyvideos#pranks#funnyreaction#trynottolaugh#haha#comedy #comedytime #funny #memes,https://www.youtube.com/watch?v=FBk1q5uxhlc,0,no,0
1184,EPQHnR4CSAc,#funnyprank#funnyvideos#pranks#funnyreaction#trynottolaugh#haha#comedy #comedytime #funny #memes,https://www.youtube.com/watch?v=EPQHnR4CSAc,0,no,0
1168,DoqoVaI-Ju4,Ranking shaq Funniest moments in family feud.#familyfeud #shaq #SteveHarvey #viral #ranking,https://www.youtube.com/watch?v=DoqoVaI-Ju4,0,no,0
1137,Ctye3ql5lOY,Emma Chamberlain 🤯 Reacts to VIRAL Jack Harlow Met Gala Moment! 💅😂 | Fallon Show,https://www.youtube.com/watch?v=Ctye3ql5lOY,0,no,0
1128,C_EKzfgPOlo,School Starts in a week #jordanmatter #salishmatter,https://www.youtube.com/watch?v=C_EKzfgPOlo,0,no,0
1122,CR2UKRYtzZE,Theo Von Shows Different Versions Of Post Malone,https://www.youtube.com/watch?v=CR2UKRYtzZE,0,no,0
1112,Bsa1DETx_aE,Ricky Gervais Roasts Leonardo DiCaprio,https://www.youtube.com/watch?v=Bsa1DETx_aE,0,no,0
1102,BdNz7rzyp_0,"Locky, you're not afraid of injections?! 💉 Really?! 🫢 #gogodino #cute #vaccine #vaccination #scared",https://www.youtube.com/watch?v=BdNz7rzyp_0,0,no,0
1042,9TnIhJYPxI4,POV: Parents in June & July be like... 😳 #funnykids #summer #shorts,https://www.youtube.com/watch?v=9TnIhJYPxI4,0,no,0
1020,8r8QvZf1qrQ,Nidal and Salish funniest moments | Nidal and Salish Edit | Rather Be,https://www.youtube.com/watch?v=8r8QvZf1qrQ,0,no,0
1003,8Q6Nt1njYuQ,The Ultimate Birthday Party #jokes #funny #isolation #awkward #comedy #darkhumor #unexpectedtwist,https://www.youtube.com/watch?v=8Q6Nt1njYuQ,0,no,0
934,6hs9HC1qqJY,Joe Rogan Reacts to Charlie Kirk Explosive Debate On Free Speech,https://www.youtube.com/watch?v=6hs9HC1qqJY,0,no,0
923,6F7Asy3Vues,1960's Civil Rights Activists... ✊🏿 #comedy #funny #sketchcomedy #1960s,https://www.youtube.com/watch?v=6F7Asy3Vues,0,no,0
908,5oYh5GUzSMw,She Did What!? 😳 #adamsandler #funny,https://www.youtube.com/watch?v=5oYh5GUzSMw,0,no,0
899,5c50GDHFMQc,Ranking The Best Liza Koshy Vines #ranking #vines #tiktok #funnyshorts #viral,https://www.youtube.com/watch?v=5c50GDHFMQc,0,no,0
884,55uA4c-IPYM,Top 3 Funniest Steam Game Moments in Lockdown Protocol Ultimate Funny Moments 😆🎮,https://www.youtube.com/watch?v=55uA4c-IPYM,0,no,0
860,4N64Di3bhlE,Ranking The Best Liza Koshy Vines (part 3) #ranking #vines #tiktok #funnyshorts #viral,https://www.youtube.com/watch?v=4N64Di3bhlE,0,no,0
856,4HO0EA2vEgw,Ranking Funniest King Bach Vines 🤣 #ranking #viral #funny #Short,https://www.youtube.com/watch?v=4HO0EA2vEgw,0,no,0
841,3h0k2s2CKQU,The only two words you’re gonna need in your life 😂 #EverybodyHatesChris,https://www.youtube.com/watch?v=3h0k2s2CKQU,0,no,0
828,3Ocq8lWAwV0,Joe Rogan Reacts To Trump’s Hilarious Rant On Electric Tanks,https://www.youtube.com/watch?v=3Ocq8lWAwV0,0,no,0
814,2wcZvqu4lvM,Ryan Trahan #ryantrahan #youtube #youtubevideos #funny #cool #ai #fyp,https://www.youtube.com/watch?v=2wcZvqu4lvM,0,no,0
806,2hA5VcV1Su4,Ranking of the Funniest Teeth-Talk Moments on The Ellen DeGeneres Show #usa #funny #celebrity,https://www.youtube.com/watch?v=2hA5VcV1Su4,0,no,0
