video_id,dataset_row_id,humor_bucket,comments_scored,sentiment_negative,sentiment_neutral,sentiment_positive,identity_attack,insult,obscene,severe_toxicity,threat,toxicity,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise
--r7_yDKqEU,696,regular_humor,31,0.22862497602979984,0.49475221720434004,0.27662281292460617,0.0030979273973160515,0.023307997570467,0.006783219769262829,0.0003432064880936166,0.0006317321514812178,0.07030063084206514,0.06646617206804935,0.03308290527427509,0.01311077096221608,0.15036475439480837,0.4991336447757579,0.05268950651459876,0.1851522423507225
-0z1fHtwx-U,698,regular_humor,31,0.2979463139969495,0.4498253044702353,0.25222838150277255,0.012280418064854588,0.05180003031695848,0.0960785079974636,0.008450195375893775,0.0006855081031267952,0.11436566717982773,0.11229314797017123,0.100608978206442,0.013609315103460704,0.1065117784272579,0.4355624422370907,0.03237695835771099,0.19903737796290266
-1EV13ThpqE,699,regular_humor,31,0.07240671253642969,0.32996780590544783,0.5976254795828173,0.00018407297254945603,0.0003218042402295396,0.00042908786628921065,0.00010790845971637135,0.00011940280796073737,0.00580353437427191,0.06722000936767267,0.021845072889024573,0.03513099700813332,0.15416727900024382,0.6091577619794877,0.03331335513822494,0.07916552885886162
-2cNGsBTAT8,700,not_humor,31,0.3824277363357044,0.4442458418348143,0.1733264253745156,0.0015868603710963902,0.047523257356407424,0.06257540274847058,0.005830155447549787,0.0007531402525567119,0.21121025056908688,0.11220894943952801,0.12522502566477464,0.06332885937374685,0.05850328163679449,0.46063491735126705,0.06389112573777957,0.11620784887758594
-7TGm7ARWEs,703,not_humor,31,0.24904589538252161,0.3636745921366157,0.3872795111289428,0.0009162803861169866,0.008999104589982439,0.023429807925675696,0.00047550562838648237,0.0006088497466407716,0.15599782368724024,0.17089623574077362,0.09076707228086889,0.030155897271939583,0.1969315927633415,0.31171817475208835,0.04250479014139743,0.15702623034632135
-8VkeUcYiVU,705,not_humor,31,0.21457410124581186,0.3502356739894998,0.4351902213848887,0.0019208313836227922,0.04740749130113756,0.026148839841499145,0.000634109091357283,0.0005585258564209535,0.15194605531043284,0.1415952720018404,0.1075193616711805,0.054184621859026415,0.10580257309841053,0.4289390193298459,0.060643067835049046,0.1013160785585041
-I6uCvSiyJ8,706,regular_humor,31,0.20225178059791366,0.6131471606992906,0.18460104608487699,0.011526049245730974,0.0031200159818024166,0.0035887233140285035,0.00043131084385095164,0.0005864917034012897,0.06851441504043196,0.04694844477419411,0.023242193454455946,0.00963339639917737,0.10000833804388681,0.6630639943384355,0.091104383234896,0.06599923981083257
-LHnxrj7Jl8,708,not_humor,31,0.26546320780330607,0.4494735058997908,0.2850632824664635,0.0006118819620760698,0.020358286878270578,0.05722260491916865,0.0018536545786417028,0.0002993946893125652,0.07939436695455844,0.08462909934291195,0.056365060492328575,0.06778298853896558,0.06077347776942676,0.5149470738345577,0.11800666881965534,0.09749561088580277
-R_-MAHq400,710,dark_humor,31,0.23163197767139682,0.35540100700792765,0.4129670099205067,0.004448397548384814,0.024904127905404406,0.006071316054834413,0.00038977885490185733,0.00027946772001263115,0.07704729725035929,0.04816223428614678,0.05819759781156937,0.027222525431669406,0.13878377346742538,0.5126724926033809,0.054723960565282934,0.1602374190209253
-VDCpQzUJdE,711,not_humor,29,0.1321772543857966,0.4176365370252009,0.4501862182314026,0.0006335409998428077,0.002712148308938626,0.001678983367285049,0.0002718869521953005,0.003418457288403417,0.06890088829597266,0.07816695375367999,0.027598585772874027,0.023727964720255214,0.2382063059104157,0.4043496981231046,0.03636288544933858,0.19158762434079987
-VPwF0iyIa4,712,not_humor,31,0.4941938538705149,0.41655279575817045,0.08925335459230889,0.004314426623750478,0.04083163775278315,0.0224659067081971,0.0007227528093930994,0.000875398390851314,0.1349471687797397,0.08904533173828837,0.0990500940205229,0.12793833430811402,0.030683259566074178,0.4857175785056766,0.049307115766550266,0.11825828002991094
-_PcyBa99XY,713,dark_humor,31,0.17245441682696824,0.37089054475748734,0.4566550472931516,0.0028659762714185843,0.02912144707525224,0.03430029989601368,0.0011234545799520528,0.00038675905201554056,0.1105653315185449,0.10319662424585511,0.07716055310353817,0.024886001996140206,0.18753668920685268,0.476577929281179,0.0356740903695144,0.09496812508892148
-aPRwsVr6do,714,dark_humor,31,0.30358546482954896,0.3688845063649839,0.32753003391647534,0.050837560422575825,0.06192999829645193,0.11232522673784726,0.010803062167871113,0.0019744949022424407,0.23147477042267942,0.12119109555327844,0.10263110212080422,0.0423303026144558,0.10887203067015376,0.43606940919022646,0.0803412082154424,0.10856484092073515
-ch4NqzdhA8,715,regular_humor,31,0.04074964371149338,0.18171067920423323,0.7775396856088792,0.00038438116485673573,0.0023084529713096637,0.0026755099059946295,0.00015740535168480427,0.00021675184196341904,0.0291932413500974,0.053972101721522066,0.049442938140278024,0.14408399419851542,0.19094988709736255,0.45332496419488905,0.061313879781312516,0.04691223444176778
-fugHnFYbtc,716,not_humor,31,0.461387399381267,0.3611680286065225,0.17744458288014417,0.002165500621495378,0.030542588988018614,0.038376841656563264,0.00089276616833353,0.004609067525081862,0.15953611225009925,0.08647640678100288,0.11575271244040661,0.157777005419766,0.03698262391656998,0.4133580300896879,0.12007468297416644,0.06957852317305703
-iKAiDsxGMw,717,regular_humor,31,0.42371728613732323,0.3981573705471331,0.1781253349787045,0.00043445206744851725,0.0010558243253223237,0.0013769186907372768,0.00015983518354797496,0.00045281725972252446,0.03806771716523555,0.0669572344575558,0.10713623345626759,0.039890005824065974,0.052530244634967416,0.49246059131297854,0.11332796134745642,0.12769772611077754
-jI-zsqAoGc,718,not_humor,31,0.3241577729913256,0.3854631360980772,0.290379082663886,0.0008881760365892983,0.027298654243725563,0.09342198068653458,0.002252576500224325,0.0003749832601076172,0.15460969344525027,0.09736342360866407,0.08042292657022874,0.05597034030436208,0.13850476982207188,0.5107100248757389,0.04117029040841566,0.07585823316607744
